description,unit,rate
All kinds of soil.,One Square Metre,130.0
All kinds of soil.,One Cubic Metre,395.0
All kinds of soil.,One Cubic Metre,198.0
All kinds of soil .,One Cubic Metre,178.0
Ordinary rock.,One Cubic Metre,499.0
Hard rock (requ blasting).,One Cubic Metre,874.0
Hard rock (blasting prohi).,One Cubic Metre,1433.0
All kinds of soil.,One Cubic Metre,260.0
Ordinary rock.,One Cubic Metre,633.0
Hard rock (requ blasting).,One Cubic Metre,1050.0
Hard rock (blasting probi).,One Cubic Metre,1523.0
Pipes upto 80 mm dia.,One Metre,216.0
"Pipes, cables etc. exceeding 80 mm dia. but not exceeding 300 mm dia",One Metre,352.0
"Pipes , cables 300 to 600 mm.",One Metre,550.0
"Pipes, upto 80 mm dia.",One Metre,403.0
"Pipes, 80 mm to 300 mm dia.",One Metre,999.0
Pipes 300 to 600 mm. dia,One Metre,1149.0
"Pipes, upto 80 mm dia.",One Metre,603.0
Pipes 80 mm to 300 mm dia.,One Metre,1494.0
Pipes 300 to 600 mm.,One Metre,1718.0
Pipes upto 80 mm dia.,One Metre,827.0
Pipes 80 mm to 300 mm dia.,One Metre,2047.0
Pipes 300 to 600 mm.,One Metre,2356.0
"Pipes, cables etc., exceeding 80 mm dia but not exceeding 300 mm dia.",One metre,730.0
"Pipes, cables etc., exceeding 300 mm dia but not exceeding 600 mm dia.",One metre,867.0
"Pipes, cables etc., exceeding 80 mm dia but not exceeding 300 mm dia.",One metre,1091.0
"Pipes, cables etc., exceeding 300 mm dia but not exceeding 600 mm dia.",One metre,1297.0
"Pipes, cables etc., exceeding 80 mm dia but not exceeding 300 mm dia.",One metre,1496.0
"Pipes, cables etc., exceeding 300 mm dia but not exceeding 600 mm dia.",One metre,1778.0
"Pipes, cables etc., exceeding 300 mm dia but not exceeding 600 mm dia.",One metre,2352.0
Depth not exceeding 1.5 mtr.,One Square Metre,140.0
Depth from 1.5 to 3 mtr.,One Square Metre,155.0
Depth from 3 to 4.5 mtr.,One Square Metre,190.0
Depth not exceeding 1.5 mtr.,One Square Metre,152.0
Depth from 3 to 4.5 mtr.,One Square Metre,184.0
Depth exceeding 3 m to 4.5 m.,One Square Metre,218.0
Depth not exceeding 1.5 mtr.,One Square Metre,126.0
Depth from 1.5 to 3 mtr.,One Square Metre,144.0
Depth from 3 to 4.5 mtr.,One Square Metre,163.0
"Extra for planking, strutting and packing materials for cavities (in close timbering):",One Square Metre,1692.0
Depth not exceeding 1.5 m.,One Square Metre,72.0
Depth from 1.5 to 3 mtr.,One Square Metre,82.0
Depth from 3 to 4.5 mtr.,One Square Metre,97.0
Depth not exceeding 1.5 m.,One Square Metre,66.0
Depth from 1.5 to 3 mtr.,One Square Metre,82.0
Depth from 3 to 4.5 mtr.,One Square Metre,102.0
Depth not exceeding 1.5 m.,One Square Metre,45.0
Depth from 1.5 to 3 mtr.,One Square Metre,55.0
Depth from 3 to 4.5 mtr.,One Square Metre,71.0
Extra for planking and strutting in open timbering if required to be left permanently in position.,One Square Metre,873.0
"Filling available earth in trenches, plinth, side foundation etc.",One Cubic Metre,196.0
All kinds of soil.,One Cubic Metre,127.0
Ordinary or hard rock,One Cubic Metre,227.0
Suppl. and filling in plinth local sand under floor.,One Cubic Metre,2124.0
All kinds of soil.,One Square Metre,34.0
All kinds of soil.,One Square Metre,35.0
All kinds of soil.,Each,82.0
Ordinary rock,Each,194.0
Hard rock (requiring blasting),Each,319.0
Hard rock (blasting prohibited),Each,461.0
"Clearing jungle i/c uprooti- ng of rank vegetation,grass, brush wood,trees etc.",One Square Metre,18.0
Clearing grass and removal of the rubbish,One Square Metre,9.0
Beyond 30 cm girth up to 60 cm girth,Each,532.0
Beyond 60 cm girth upto 120 cm girth,Each,2374.0
Beyond 60 cm girth upto 120 cm girth,Each,11020.0
Above 240 cm girth,Each,22075.0
Chlorpyriphos/ Lindane emulsifiable concentrate of 20%,One Litre,235.0
With Chlorpyriphos/ Lindane E.C. 20% with 1% concentration.,One Metre,39.0
With Chlorpyriphos/ Lindane E.C. 20% with 1% concentration.,One Metre,53.0
With Chlorpyriphos/Lindane E.C. 20% with 1% concentration.,One Square Metre,310.0
With Chlorpyriphos/Lindane E.C. 20% with 1% concentration.,One Metre,43.0
Treatment at points of contact of wood work by chemical emulsion Chlorpyriphos/ Lindane @ 0.5litres per hole by drilling 6 mm dia holes,One Metre,280.0
Deduct for disposed soil not levelled and neatly dressed.,One Cubic Metre,93.0
Supply and stacking of Fly ash at site (measured stacks will be reduced by 20% for payment).,One Cubic Metre,281.0
"Filling with available fly ash and earth in trenches or embankment in layers with intermediate layer of compacted earth after every four layers of compacted depth of fly ash, sides & top layer of filling shall be done with earth",One Cubic Metre,308.0
"1:1.5:3, 20 mm stone agg with coarse sand",One Cubic Metre,8341.0
"1:1.5:3, aggregates derived from RCA up to 25%",One Cubic Metre,8128.0
"1:2:4, 20 mm stone agg with coarse sand",One Cubic Metre,7879.0
"1:2:4, aggregates derived from RCA up to 25%",One Cubic Metre,7655.0
"1:2:4, 40 mm stone agg with coarse sand",One Cubic Metre,7780.0
"1:3:6, 20 mm stone agg with coarse sand",One Cubic Metre,7295.0
"1:3:6, aggregates derived from RCA up to 25%",One Cubic Metre,6348.0
"1:3:6, aggregates derived from RCA up to 25%",One Cubic Metre,5640.0
"1:3:6, 40 mm stone agg with coarse sand",One Cubic Metre,7179.0
"1:3:6, 40 mm stone agg with coarse sand (RCA)",One Cubic Metre,5572.0
"1:4:8, 40 mm stone agg with coarse sand",One Cubic Metre,6812.0
"1:4:8, 40 mm stone agg with coarse sand (RCA)",One Cubic Metre,5205.0
"1:5:10, 40 mm stone agg with coarse sand",One Cubic Metre,6519.0
"1:5:10, 40 mm stone agg with coarse sand (RCA)",One Cubic Metre,4912.0
"1:5:10, 40 mm stone agg with fine sand",One Cubic Metre,6190.0
"1:2:3.5:9, fly ash, cs, 40 mm stone agg",One Cubic Metre,6667.0
"1:2:3.5:9, fly ash, cs, 40 mm stone agg (RCA)",One Cubic Metre,5131.0
"1:2.5:4:11, fly ash, cs, 40 mm stone agg",One Cubic Metre,6312.0
"1:2.5:4:11, fly ash, cs, 40 mm stone agg (RCA)",One Cubic Metre,4796.0
1 : 1.5 : 3 - 20 mm stone agg. with coarse sand.,One Cubic Metre,10358.0
1 : 1.5 : 3 - 20 mm stone agg. with coarse sand. (RCA),One Cubic Metre,10145.0
1 : 2 : 4 - 20 mm stone agg. with coarse sand.,One Cubic Metre,9895.0
1 : 2 : 4 - 20 mm stone agg. with coarse sand. (RCA),One Cubic Metre,9672.0
1 : 3 : 6 - 20 mm stone agg. with coarse sand.,One Cubic Metre,9311.0
